Year,Month,State,Solar MWh,Wind MWh,Temp,Precip
2000,1,AK,NA,NA,0.7,3.54
2000,2,AK,NA,NA,16.2,1.94
2000,3,AK,NA,NA,17.2,2.55
2000,4,AK,NA,NA,24.5,1.81
2000,5,AK,NA,NA,35.4,1.48
2000,6,AK,NA,NA,51.2,2.14
2000,7,AK,NA,NA,51.8,4.42
2000,8,AK,NA,NA,47.4,4.65
2000,9,AK,NA,NA,38.6,5.93
2000,10,AK,NA,NA,24.8,4.29
2000,11,AK,NA,NA,18.2,4.29
2000,12,AK,NA,NA,14.5,3.04
2001,1,AK,NA,87,15.7,4.54
2001,2,AK,NA,74,14.7,3.03
2001,3,AK,NA,81,12,2.47
2001,4,AK,NA,71,25.1,2.34
2001,5,AK,NA,69,32.7,2.27
2001,6,AK,NA,70,50.8,1.55
2001,7,AK,NA,74,52.1,4.38
2001,8,AK,NA,73,50.4,3.96
2001,9,AK,NA,86,42.4,3.94
2001,10,AK,NA,83,21.8,4.19
2001,11,AK,NA,86,9.7,1.96
2001,12,AK,NA,97,0.6,2.87
2002,1,AK,NA,NA,9.5,3.58
2002,2,AK,NA,NA,8.7,2.53
2002,3,AK,NA,NA,15.4,1.43
2002,4,AK,NA,NA,21.5,1.88
2002,5,AK,NA,NA,41.1,2.28
2002,6,AK,NA,NA,50,2.42
2002,7,AK,NA,NA,53.4,2.83
2002,8,AK,NA,NA,49.2,5.25
2002,9,AK,NA,NA,42.7,5.25
2002,10,AK,NA,NA,31.8,5.72
2002,11,AK,NA,NA,24.1,4.45
2002,12,AK,NA,NA,13.6,2.9
2003,1,AK,NA,NA,10.2,2.62
2003,2,AK,NA,NA,16.5,3.28
2003,3,AK,NA,NA,11,1.92
2003,4,AK,NA,NA,27.8,1.34
2003,5,AK,NA,NA,38.4,2.31
2003,6,AK,NA,NA,51.2,2.49
2003,7,AK,NA,NA,53.5,3.88
2003,8,AK,NA,NA,50.6,5.18
2003,9,AK,NA,NA,39,3.8
2003,10,AK,NA,NA,31.7,4.13
2003,11,AK,NA,NA,14.8,4.42
2003,12,AK,NA,NA,4.6,3.63
2004,1,AK,NA,NA,-0.4,2
2004,2,AK,NA,NA,10.1,2.63
2004,3,AK,NA,NA,10,2.39
2004,4,AK,NA,NA,28.7,2.49
2004,5,AK,NA,NA,43.2,2.46
2004,6,AK,NA,NA,55.1,1.86
2004,7,AK,NA,NA,57.3,2.58
2004,8,AK,NA,NA,55.3,2.31
2004,9,AK,NA,NA,37.4,5.55
2004,10,AK,NA,NA,29.5,5
2004,11,AK,NA,NA,16.9,4.87
2004,12,AK,NA,NA,8.8,4.6
2005,1,AK,NA,23,6.7,2.74
2005,2,AK,NA,30,8,2.75
2005,3,AK,NA,45,18.5,2.54
2005,4,AK,NA,46,24.5,1.55
2005,5,AK,NA,49,43.7,2.18
2005,6,AK,NA,41,52.5,2.23
2005,7,AK,NA,28,54.4,3.84
2005,8,AK,NA,25,52.6,4.05
2005,9,AK,NA,54,42.9,6.5
2005,10,AK,NA,71,27.4,3.95
2005,11,AK,NA,97,5.1,4.42
2005,12,AK,NA,79,13.9,3.61
2006,1,AK,NA,87,-4.7,1.62
2006,2,AK,NA,71,12.4,2.56
2006,3,AK,NA,72,7.7,1.39
2006,4,AK,NA,73,20.8,2.85
2006,5,AK,NA,68,40,1.83
2006,6,AK,NA,46,49.1,3.03
2006,7,AK,NA,47,53,3.14
2006,8,AK,NA,40,48.3,6.04
2006,9,AK,NA,49,44.3,4.94
2006,10,AK,NA,70,31.6,6.04
2006,11,AK,NA,79,6.2,1.37
2006,12,AK,NA,85,8.1,3.9
2007,1,AK,NA,56,5.5,3.29
2007,2,AK,NA,55,6.1,0.99
2007,3,AK,NA,49,-0.2,1.88
2007,4,AK,NA,84,29.9,1.74
2007,5,AK,NA,65,39.4,1.91
2007,6,AK,NA,87,51,1.96
2007,7,AK,NA,127,55.5,3.49
2007,8,AK,NA,96,53.2,3
2007,9,AK,NA,100,43.5,5.82
2007,10,AK,NA,126,25.3,3.93
2007,11,AK,NA,52,19.8,3.59
2007,12,AK,NA,113,8,2.49
2008,1,AK,NA,9,0.4,2.82
2008,2,AK,NA,3,1.7,2.23
2008,3,AK,NA,5,12.6,2.63
2008,4,AK,NA,5,23,2.51
2008,5,AK,NA,6,39.1,1.95
2008,6,AK,NA,6,48.8,2.63
2008,7,AK,NA,7,51.2,4.55
2008,8,AK,NA,8,48.4,3.05
2008,9,AK,NA,5,41.2,4.39
2008,10,AK,NA,5,18.9,5.05
2008,11,AK,NA,5,9.6,2.84
2008,12,AK,NA,3,6,2.44
2009,1,AK,NA,48,-0.2,4.05
2009,2,AK,NA,89,5.1,2.66
2009,3,AK,NA,84,7.1,2.57
2009,4,AK,NA,69,24.1,1.51
2009,5,AK,NA,3,40.4,1.54
2009,6,AK,NA,875,49.8,2.2
2009,7,AK,NA,1325,56.1,2.66
2009,8,AK,NA,1283,49,4.66
2009,9,AK,NA,1213,41.6,4.1
2009,10,AK,NA,507,30.5,3.57
2009,11,AK,NA,1222,7.4,3.35
2009,12,AK,NA,310,10.2,2.34
2010,1,AK,NA,416,1.5,1.93
2010,2,AK,NA,685,10.8,1.6
2010,3,AK,NA,1368,9.8,2.61
2010,4,AK,NA,1362,26.9,1.79
2010,5,AK,NA,1000,41.3,1.16
2010,6,AK,NA,1250,49.5,2.71
2010,7,AK,NA,1373,52.1,4.56
2010,8,AK,NA,1764,51.5,3.98
2010,9,AK,NA,1177,42.8,3.19
2010,10,AK,NA,1132,27.6,4.18
2010,11,AK,NA,719,17.7,4.29
2010,12,AK,NA,361,-2.4,1.85
2011,1,AK,NA,418.13,7,2.56
2011,2,AK,NA,59.16,6,2.86
2011,3,AK,NA,1564.18,11.9,0.83
2011,4,AK,NA,438.14,23.2,1.65
2011,5,AK,NA,936.13,40.5,1.39
2011,6,AK,NA,1090.03,49.8,2.58
2011,7,AK,NA,1299.88,52.1,3.7
2011,8,AK,NA,1429.33,49,6.06
2011,9,AK,NA,753.4,42.4,5.01
2011,10,AK,NA,1154.38,28.5,4.16
2011,11,AK,NA,1682.08,3.6,3.28
2011,12,AK,NA,1621.15,9.4,4.66
2012,1,AK,NA,1084.6,-12.8,2.79
2012,2,AK,NA,1448.8,12.1,2.74
2012,3,AK,NA,2040.5,4.3,1.82
2012,4,AK,NA,2008.54,27.3,1.05
2012,5,AK,NA,2168.85,37.2,2.63
2012,6,AK,NA,1675.63,50.4,2.88
2012,7,AK,NA,2795.61,52,4.21
2012,8,AK,NA,1906.97,49.9,4.52
2012,9,AK,NA,4485.15,40.6,7.25
2012,10,AK,NA,5435.72,25.5,2.95
2012,11,AK,NA,5781.71,6,1.98
2012,12,AK,NA,6560.53,-0.8,2.46
2013,1,AK,NA,8076.64,9.8,3.51
2013,2,AK,NA,16505.47,6.3,2.84
2013,3,AK,NA,7462.05,11,1.74
2013,4,AK,NA,7160.01,16.7,1.89
2013,5,AK,NA,9864.22,35.2,2.39
2013,6,AK,NA,18678.37,53.9,1.76
2013,7,AK,NA,15401.62,55,3.12
2013,8,AK,NA,17447.17,51.4,4.54
2013,9,AK,NA,15061.17,39.6,5.42
2013,10,AK,NA,9659.63,34,6.43
2013,11,AK,NA,10106.42,13.7,4.06
2013,12,AK,NA,9866.24,7,3.11
2014,1,AK,NA,16419.25,18.4,4.34
2014,2,AK,NA,13210.83,6.7,1.04
2014,3,AK,NA,15369.73,14.1,1.53
2014,4,AK,NA,16041.19,27.4,1.42
2014,5,AK,NA,12603.87,41.9,1.79
2014,6,AK,NA,11312.81,48.1,3.81
2014,7,AK,NA,9556,52.7,4.59
2014,8,AK,NA,7301.02,52,4.85
2014,9,AK,NA,9304.63,42.3,4.82
2014,10,AK,NA,12876.81,25.8,3.2
2014,11,AK,NA,17160.8,19.6,2.52
2014,12,AK,NA,12468.3,15,2.84
2015,1,AK,NA,4937,7.1,3.17
2015,2,AK,NA,9885,12.6,1.84
2015,3,AK,NA,11075,15.9,2.26
2015,4,AK,NA,19188,28.2,2.73
2015,5,AK,NA,17082,44.8,1.82
2015,6,AK,NA,13091,52.3,2.07
2015,7,AK,NA,13321,54.2,3.92
2015,8,AK,NA,11643,49.3,4.88
2015,9,AK,NA,14325,38.9,6.21
2015,10,AK,NA,10481,31.6,4.16
2015,11,AK,NA,18437,17.2,5.39
2015,12,AK,NA,16230,8.3,1.65
2016,1,AK,NA,4245,17.2,2.71
2016,2,AK,NA,7998,17.3,2.48
2016,3,AK,NA,9333,18.7,2.25
2016,4,AK,NA,18075,33.3,2.3
2016,5,AK,NA,13264,44,2.68
2016,6,AK,NA,18155,51.8,2.68
2016,7,AK,NA,16206,55.6,4.18
2016,8,AK,NA,18210,53.2,5.2
2016,9,AK,NA,16074,42.3,5.89
2016,10,AK,NA,19455,29.7,1.7
2016,11,AK,NA,17444,13.3,2.9
2016,12,AK,NA,10841,6.2,2.1
2017,1,AK,NA,12183,4.5,2.9
2017,2,AK,NA,12747,6.6,2.34
2017,3,AK,NA,14750,4.9,1.19
2017,4,AK,NA,14383,29.6,0.9
2017,5,AK,NA,12699,40.8,2.76
2017,6,AK,NA,10917,51.4,2.09
2017,7,AK,NA,8925,56.2,3.42
2017,8,AK,NA,7337,50.2,6.02
2017,9,AK,NA,9883,42.6,5.32
2017,10,AK,NA,13467,30.2,5.23
2017,11,AK,NA,12388,15.8,2.34
2017,12,AK,NA,12010,19.1,3.55
2018,1,AK,NA,14888,6.7,2.44
2018,2,AK,NA,13255,12.6,2.08
2018,3,AK,NA,15414,18,2.03
2018,4,AK,NA,15324,26.8,2.08
2018,5,AK,NA,13659,39.4,2.98
2018,6,AK,NA,14323,50,3.01
2018,7,AK,NA,8944,55.6,2.77
2018,8,AK,NA,11272,49.6,6.53
2018,9,AK,NA,10183,44.3,2.57
2018,10,AK,NA,11757,33.8,4.92
2018,11,AK,NA,12518,19.1,3.57
2018,12,AK,NA,13477,9.1,2.92
2019,1,AK,NA,12288,7.5,2.5
2019,2,AK,NA,11247,15.5,2.2
2019,3,AK,NA,12592,26.5,2.53
2019,4,AK,NA,14079,28.5,1.92
2019,5,AK,NA,12420,43,2.37
2019,6,AK,NA,10679,54,1.81
2019,7,AK,NA,10503,58.1,2.89
2019,8,AK,NA,9495,51.5,3.37
2019,9,AK,NA,11637,44.4,5.45
2019,10,AK,NA,13193,30.8,4.82
2019,11,AK,NA,11973,19.8,5.1
2019,12,AK,NA,12485,6.7,3.04
2020,1,AK,NA,14212,-6.3,1.89
2020,2,AK,NA,16162,1.5,3.01
2020,3,AK,NA,15741,12,2.28
2020,4,AK,NA,15343,27.6,2.73
2020,5,AK,NA,13289,43.3,1.49
2020,6,AK,NA,12497,50.5,3.18
2020,7,AK,NA,9488,53.3,3.39
2020,8,AK,NA,10175,52.1,4.39
2020,9,AK,NA,10905,42,4.07
2020,10,AK,NA,14291,29,3.39
2020,11,AK,NA,17039,14.6,3.99
2020,12,AK,NA,14034,10.7,4.13
2000,1,AL,NA,NA,46.5,4.69
2000,2,AL,NA,NA,52.3,1.99
2000,3,AL,NA,NA,58.9,5.05
2000,4,AL,NA,NA,60.1,4.83
2000,5,AL,NA,NA,74,1.32
2000,6,AL,NA,NA,77.6,3.71
2000,7,AL,NA,NA,81.9,2.26
2000,8,AL,NA,NA,81,2.36
2000,9,AL,NA,NA,73.9,3.49
2000,10,AL,NA,NA,64.6,0.8
2000,11,AL,NA,NA,52.8,7.7
2000,12,AL,NA,NA,39.2,4.29
2001,1,AL,NA,NA,41.2,4.69
2001,2,AL,NA,NA,52.6,4.11
2001,3,AL,NA,NA,51.4,10.11
2001,4,AL,NA,NA,64.7,3.88
2001,5,AL,NA,NA,70.6,4.03
2001,6,AL,NA,NA,75.8,7.15
2001,7,AL,NA,NA,79.7,3.95
2001,8,AL,NA,NA,78.5,5.48
2001,9,AL,NA,NA,71.9,4.8
2001,10,AL,NA,NA,60.6,3.27
2001,11,AL,NA,NA,58.8,3.43
2001,12,AL,NA,NA,50.6,4.14
