Year,Month,State,MWh
2001,1,AZ,0
2001,1,CA,6500
2001,1,TX,0
2001,1,VA,0
2001,2,AZ,0
2001,2,CA,12568
2001,2,TX,0
2001,2,VA,0
2001,3,AZ,0
2001,3,CA,31498
2001,3,TX,0
2001,3,VA,0
2001,4,AZ,37
2001,4,CA,38722
2001,4,TX,0
2001,4,VA,0
2001,5,AZ,43
2001,5,CA,81010
2001,5,TX,0
2001,5,VA,0
2001,6,AZ,57
2001,6,CA,91086
2001,6,TX,0
2001,6,VA,0
2001,7,AZ,73
2001,7,CA,91921
2001,7,TX,0
2001,7,VA,0
2001,8,AZ,73
2001,8,CA,85228
2001,8,TX,-2
2001,8,VA,0
2001,9,AZ,76
2001,9,CA,64730
2001,9,TX,-3
2001,9,VA,0
2001,10,AZ,54
2001,10,CA,20759
2001,10,TX,0
2001,10,VA,0
2001,11,AZ,38
2001,11,CA,14251
2001,11,TX,0
2001,11,VA,0
2001,12,AZ,38
2001,12,CA,3998
2001,12,TX,0
2001,12,VA,0
2002,1,AZ,37
2002,1,CA,11283
2002,1,VA,0
2002,2,AZ,44
2002,2,CA,23521
2002,2,VA,0
2002,3,AZ,44
2002,3,CA,44353
2002,3,VA,0
2002,4,AZ,48
2002,4,CA,45810
2002,4,VA,0
2002,5,AZ,51
2002,5,CA,57589
2002,5,VA,0
2002,6,AZ,53
2002,6,CA,95490
2002,6,VA,0
2002,7,AZ,31
2002,7,CA,85506
2002,7,VA,0
2002,8,AZ,45
2002,8,CA,74880
2002,8,VA,0
2002,9,AZ,39
2002,9,CA,52569
2002,9,VA,0
2002,10,AZ,32
2002,10,CA,30924
2002,10,VA,0
2002,11,AZ,23
2002,11,CA,28152
2002,11,VA,0
2002,12,AZ,12
2002,12,CA,4295
2002,12,VA,0
2003,1,AZ,24
2003,1,CA,13193
2003,2,AZ,23
2003,2,CA,17807
2003,3,AZ,40
2003,3,CA,49987
2003,4,AZ,46
2003,4,CA,60263
2003,5,AZ,49
2003,5,CA,67913
2003,6,AZ,53
2003,6,CA,90629
2003,7,AZ,25
2003,7,CA,62382
2003,8,AZ,43
2003,8,CA,61949
2003,9,AZ,23
2003,9,CA,55834
2003,10,AZ,32
2003,10,CA,35404
2003,11,AZ,24
2003,11,CA,14007
2003,12,AZ,13
2003,12,CA,4238
2004,1,AZ,302
2004,1,CA,12308
2004,2,AZ,388
2004,2,CA,10474
2004,3,AZ,416
2004,3,CA,52513
2004,4,AZ,474
2004,4,CA,56428
2004,5,AZ,747
2004,5,CA,81029
2004,6,AZ,0
2004,6,CA,87876
2004,7,AZ,460
2004,7,CA,81643
2004,8,AZ,0
2004,8,CA,72846
2004,9,AZ,546
2004,9,CA,60086
2004,10,AZ,402
2004,10,CA,33119
2004,11,AZ,302
2004,11,CA,15040
2004,12,AZ,230
2004,12,CA,7528
2005,1,AZ,551
2005,1,CA,8117
2005,2,AZ,602
2005,2,CA,12480
2005,3,AZ,1143
2005,3,CA,37014
2005,4,AZ,1381
2005,4,CA,56882
2005,5,AZ,1572
2005,5,CA,79580
2005,6,AZ,1560
2005,6,CA,86916
2005,7,AZ,1545
2005,7,CA,70784
2005,8,AZ,1328
2005,8,CA,74517
2005,9,AZ,1251
2005,9,CA,59857
2005,10,AZ,1065
2005,10,CA,36600
2005,11,AZ,887
2005,11,CA,11868
2005,12,AZ,695
2005,12,CA,2098
2006,1,AZ,739
2006,1,CA,12196
2006,2,AZ,879
2006,2,CA,18654
2006,3,AZ,1202
2006,3,CA,32202
2006,4,AZ,651
2006,4,CA,51423
2006,5,AZ,2106
2006,5,CA,68629
2006,6,AZ,2090
2006,6,CA,67612
2006,7,AZ,1714
2006,7,CA,59942
2006,8,AZ,2035
2006,8,CA,80958
2006,9,AZ,815
2006,9,CA,53175
2006,10,AZ,514
2006,10,CA,31769
2006,11,AZ,288
2006,11,CA,15398
2006,12,AZ,99
2006,12,CA,2614
2007,1,AZ,111
2007,1,CA,12731
2007,1,CO,0
2007,1,NV,0
2007,2,AZ,497
2007,2,CA,18747
2007,2,CO,0
2007,2,NV,0
2007,3,AZ,750
2007,3,CA,47738
2007,3,CO,0
2007,3,NV,0
2007,4,AZ,1181
2007,4,CA,53283
2007,4,CO,0
2007,4,NV,0
2007,5,AZ,1350
2007,5,CA,82842
2007,5,CO,0
2007,5,NV,0
2007,6,AZ,1372
2007,6,CA,81210
2007,6,CO,0
2007,6,NV,1876
2007,7,AZ,746
2007,7,CA,76220
2007,7,CO,0
2007,7,NV,8827
2007,8,AZ,790
2007,8,CA,64122
2007,8,CO,0
2007,8,NV,10251
2007,9,AZ,702
2007,9,CA,57325
2007,9,CO,0
2007,9,NV,10186
2007,10,AZ,533
2007,10,CA,41128
2007,10,CO,0
2007,10,NV,7572
2007,11,AZ,297
2007,11,CA,20044
2007,11,CO,0
2007,11,NV,3960
2007,12,AZ,320
2007,12,CA,1579
2007,12,CO,2208
2007,12,NV,1294
2008,1,AZ,1137
2008,1,CA,12272
2008,1,CO,348
2008,1,HI,0
2008,1,MA,1
2008,1,NC,0
2008,1,NJ,50
2008,1,NV,2477
2008,1,PA,3
2008,1,WA,0
2008,2,AZ,1217
2008,2,CA,27647
2008,2,CO,735
2008,2,HI,0
2008,2,MA,3
2008,2,NC,0
2008,2,NJ,110
2008,2,NV,6121
2008,2,PA,7
2008,2,WA,0
2008,3,AZ,1674
2008,3,CA,56122
2008,3,CO,1712
2008,3,HI,0
2008,3,MA,7
2008,3,NC,0
2008,3,NJ,230
2008,3,NV,14839
2008,3,PA,15
2008,3,WA,0
2008,4,AZ,1632
2008,4,CA,71402
2008,4,CO,2106
2008,4,HI,0
2008,4,MA,9
2008,4,NC,0
2008,4,NJ,291
2008,4,NV,18682
2008,4,PA,19
2008,4,WA,0
2008,5,AZ,1508
2008,5,CA,75906
2008,5,CO,2135
2008,5,HI,0
2008,5,MA,9
2008,5,NC,0
2008,5,NJ,304
2008,5,NV,18863
2008,5,PA,20
2008,5,WA,0
2008,6,AZ,272
2008,6,CA,100402
2008,6,CO,2625
2008,6,HI,0
2008,6,MA,12
2008,6,NC,0
2008,6,NJ,398
