Year,Month,State,MWh
2001,1,AK,87
2001,1,CA,133423
2001,1,CO,4158
2001,1,HI,109
2001,1,IA,43633
2001,1,MN,86227
2001,1,NE,228
2001,1,NY,1516
2001,1,OR,3211
2001,1,PA,1084
2001,1,SD,0
2001,1,TX,83931
2001,1,VT,1377
2001,1,WI,4482
2001,1,WY,25784
2001,2,AK,74
2001,2,CA,147624
2001,2,CO,2441
2001,2,HI,111
2001,2,IA,33105
2001,2,MN,73164
2001,2,NE,171
2001,2,NY,1469
2001,2,OR,2894
2001,2,PA,849
2001,2,SD,0
2001,2,TX,141647
2001,2,VT,1472
2001,2,WI,3550
2001,2,WY,22671
2001,3,AK,81
2001,3,CA,299944
2001,3,CO,2074
2001,3,HI,160
2001,3,IA,37510
2001,3,MN,67452
2001,3,NE,171
2001,3,NY,1657
2001,3,OR,7693
2001,3,PA,948
2001,3,SD,0
2001,3,TX,87631
2001,3,VT,1407
2001,3,WI,3436
2001,3,WY,21956
2001,4,AK,71
2001,4,CA,392673
2001,4,CO,2550
2001,4,HI,265
2001,4,IA,53936
2001,4,MN,91287
2001,4,NE,323
2001,4,NY,1722
2001,4,OR,6128
2001,4,PA,838
2001,4,SD,0
2001,4,TX,115487
2001,4,VT,903
2001,4,WI,5266
2001,4,WY,13247
2001,5,AK,69
2001,5,CA,377618
2001,5,CO,2876
2001,5,HI,142
2001,5,IA,48081
2001,5,MN,73454
2001,5,NE,294
2001,5,NY,1641
2001,5,OR,5782
2001,5,PA,891
2001,5,SD,0
2001,5,TX,103312
2001,5,VT,976
2001,5,WI,3880
2001,5,WY,16013
2001,6,AK,70
2001,6,CA,438403
2001,6,CO,1797
2001,6,HI,101
2001,6,IA,35405
2001,6,MN,64220
2001,6,NE,203
2001,6,NY,1918
2001,6,OR,6447
2001,6,PA,934
2001,6,SD,0
2001,6,TX,92156
2001,6,VT,771
2001,6,WI,4381
2001,6,WY,22828
2001,7,AK,74
2001,7,CA,440390
2001,7,CO,1423
2001,7,HI,185
2001,7,IA,22590
2001,7,MN,56036
2001,7,NE,118
2001,7,NY,1913
2001,7,OR,7492
2001,7,PA,1008
2001,7,SD,0
2001,7,TX,76348
2001,7,VT,696
2001,7,WI,3583
2001,7,WY,23136
2001,8,AK,73
2001,8,CA,408487
2001,8,CO,2931
2001,8,HI,235
2001,8,IA,24805
2001,8,MN,49354
2001,8,NE,105
2001,8,NY,2047
2001,8,OR,4966
2001,8,PA,1050
2001,8,SD,0
2001,8,TX,55825
2001,8,VT,467
2001,8,WI,4023
2001,8,WY,22838
2001,9,AK,86
2001,9,CA,293075
2001,9,CO,2125
2001,9,HI,230
2001,9,IA,26291
2001,9,MN,55098
2001,9,NE,144
2001,9,NY,1629
2001,9,OR,4782
2001,9,PA,891
2001,9,SD,0
2001,9,TX,75750
2001,9,VT,582
2001,9,WI,6410
2001,9,WY,23136
2001,10,AK,83
2001,10,CA,253310
